t,field,value,color,status,reason,raw
23.0,SPEED,14.5,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
23.0,POWER,67,NEUTRAL,OK,power_present,{age_s=0.0}
23.0,HR,109,NEUTRAL,OK,hr_present,{age_s=0.0}
23.0,CADENCE,43,AMBER,OK,outside_preferred_band,{age_s=0.0}
23.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
23.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
23.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
23.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
24.0,SPEED,15.1,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
24.0,POWER,107,NEUTRAL,OK,power_present,{age_s=0.0}
24.0,HR,110,NEUTRAL,OK,hr_present,{age_s=0.0}
24.0,CADENCE,63,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
24.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
24.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
24.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
24.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
25.0,SPEED,15.3,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
25.0,POWER,100,NEUTRAL,OK,power_present,{age_s=0.0}
25.0,HR,106,NEUTRAL,OK,hr_present,{age_s=0.0}
25.0,CADENCE,66,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
25.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=-0.58, grade_display=-0.58}"
25.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
25.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
25.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
26.0,SPEED,15.3,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
26.0,POWER,134,NEUTRAL,OK,power_present,{age_s=0.0}
26.0,HR,106,NEUTRAL,OK,hr_present,{age_s=0.0}
26.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
26.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=-0.58, grade_display=-0.58}"
26.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
26.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
26.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
27.0,SPEED,14.7,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
27.0,POWER,140,NEUTRAL,OK,power_present,{age_s=0.0}
27.0,HR,105,NEUTRAL,OK,hr_present,{age_s=0.0}
27.0,CADENCE,64,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
27.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=-0.58, grade_display=-0.58}"
27.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
27.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
27.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
28.0,SPEED,13.7,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
28.0,POWER,76,NEUTRAL,OK,power_present,{age_s=0.0}
28.0,HR,106,NEUTRAL,OK,hr_present,{age_s=0.0}
28.0,CADENCE,60,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
28.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=-0.58, grade_display=-0.58}"
28.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
28.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
28.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
29.0,SPEED,13.4,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
29.0,POWER,108,NEUTRAL,OK,power_present,{age_s=0.0}
29.0,HR,106,NEUTRAL,OK,hr_present,{age_s=0.0}
29.0,CADENCE,57,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
29.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=-0.58, grade_display=-0.58}"
29.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
29.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
29.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
30.0,SPEED,13.2,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
30.0,POWER,166,NEUTRAL,OK,power_present,{age_s=0.0}
30.0,HR,105,NEUTRAL,OK,hr_present,{age_s=0.0}
30.0,CADENCE,57,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
30.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=-0.58, grade_display=-0.58}"
30.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
30.0,AVG_GROSS,WAIT,GRAY,WAIT,not_enough_time_or_distance,{}
30.0,AVG_MOVING,WAIT,GRAY,WAIT,not_enough_moving_time_or_distance,{}
31.0,SPEED,13.4,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
31.0,POWER,114,NEUTRAL,OK,power_present,{age_s=0.0}
31.0,HR,105,NEUTRAL,OK,hr_present,{age_s=0.0}
31.0,CADENCE,57,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
31.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=-0.5, grade_display=-0.5}"
